Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
264415_at	ERF113, RAP2.6	encodes a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family (RAP2.6). The protein contains one AP2 domain. There are 7 members in this subfamily., encodes a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family (RAP2.6). The protein contains one AP2 domain. There are 7 members in this subfamily.	1, 1	16263805	AT1G43160	840915	9192694, 11118137, 12368493, 12913156, 14535885, 15047898, 15144375, 15356332, 15341633, 16021335, 16121258, 16151182, 16463051, 16553894, 16553893, 16648215, 16937017, 16896234, 17061125, 17216481, 17408486, 17675405, 17905899, 17786451, 18156220, 18400103, 18643985, 18783601, 20193749, 21069430, 22383539, 23510309, 24377444, 25882345, 26356550, 28272518, 29335449, 29490615, 31701032, 31925200, 32619295, 31249583	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0006970: response to osmotic stress, GO:0009409: response to cold, GO:0009414: response to water deprivation, GO:0009611: response to wounding, GO:0009651: response to salt stress, GO:0009651: response to salt stress, GO:0009658: chloroplast organization, GO:0009737: response to abscisic acid, GO:0009751: response to salicylic acid, GO:0009753: response to jasmonic acid, GO:0034605: cellular response to heat, GO:0045893: positive regulation of DNA-templated transcription, GO:0045893: positive regulation of DNA-templated transcription	
266799_at	ATPSK2, PSK2	Phytosulfokine 2 precursor, coding for a unique plant peptide growth factor., Phytosulfokine 2 precursor, coding for a unique plant peptide growth factor.	2, 2	9737583	AT2G22860	816817	11706167, 12172015, 12169696, 12535341, 12913156, 14973164, 16212609, 16829587, 14701937, 18650403, 18775970, 25174442, 27247031, 32279151	GO:0005576: extracellular region, GO:0006970: response to osmotic stress, GO:0008104: protein localization, GO:0008283: cell population proliferation, GO:0009611: response to wounding, GO:0009867: jasmonic acid mediated signaling pathway, GO:0030154: cell differentiation, GO:0031012: extracellular matrix, GO:0032787: monocarboxylic acid metabolic process, GO:0048589: developmental growth, GO:0050832: defense response to fungus, GO:1905392: plant organ morphogenesis	
254044_at	ATXTH14, XTH14, XTR9	Encodes a xyloglucan endotransglycosylase with a clear preference for non-fucosylated xyloglucan polymer., Encodes a xyloglucan endotransglycosylase with a clear preference for non-fucosylated xyloglucan polymer., Encodes a xyloglucan endotransglycosylase with a clear preference for non-fucosylated xyloglucan polymer.	4, 4, 4	13130291	AT4G25820	828687	10406121, 11673616, 15047898, 15634198, 15720654, 16412086, 18682547, 19635745, 20688978, 22253603, 23075788, 27247031	GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds, GO:0005576: extracellular region, GO:0010411: xyloglucan metabolic process, GO:0016762: xyloglucan:xyloglucosyl transferase activity, GO:0030154: cell differentiation, GO:0030247: polysaccharide binding, GO:0042546: cell wall biogenesis, GO:0048364: root development, GO:0048589: developmental growth, GO:0090558: plant epidermis development	
248208_at	ATHB52, HB52	Encodes a homeodomain leucine zipper class I (HD-Zip I) protein., Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.	5, 5	21913883	AT5G53980	835481	11118137, 16055682, 16463051, 16648215, 17329565, 17478635, 22664253, 23134674, 25352272, 25533953, 30333147, 30356219	GO:0000976: transcription cis-regulatory region binding, GO:0000981: DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0009637: response to blue light, GO:0009646: response to absence of light, GO:0043565: sequence-specific DNA binding, GO:0045893: positive regulation of DNA-templated transcription	
267337_at			2	-16687673	AT2G39980	818586	15860015, 16307366, 16299181, 16766693, 20351290, 23134674	GO:0005737: cytoplasm, GO:0008150: biological_process	
251109_at	ATFER1, FER1	Encodes  a ferretin protein that is targeted to the chloroplast. Member of a Ferritin gene family. Gene expression is induced in response to iron overload and by nitric oxide. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress., Encodes  a ferretin protein that is targeted to the chloroplast. Member of a Ferritin gene family. Gene expression is induced in response to iron overload and by nitric oxide. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.	5, 5	-227953	AT5G01600	831720	8761454, 11672431, 11092880, 12102506, 12047627, 14535880, 15998312, 16782706, 17197417, 17980612, 18650403, 18775970, 18826427, 19054359, 19121106, 19448037, 19017117, 19828447, 19825683, 19880396, 20055961, 20118269, 21371898, 21665324, 21946558, 22375884, 22449975, 23250624, 23682113, 23788639, 24064926, 24046774, 25385697, 25624148, 31900819, 32619040, 32692954	GO:0000302: response to reactive oxygen species, GO:0004322: ferroxidase activity, GO:0005506: iron ion binding, GO:0005515: protein binding, GO:0005737: cytoplasm, GO:0005739: mitochondrion, GO:0005886: plasma membrane, GO:0006826: iron ion transport, GO:0006880: intracellular sequestering of iron ion, GO:0008198: ferrous iron binding, GO:0008199: ferric iron binding, GO:0009409: response to cold, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009535: chloroplast thylakoid membrane, GO:0009570: chloroplast stroma, GO:0009579: thylakoid, GO:0009617: response to bacterium, GO:0009617: response to bacterium, GO:0009908: flower development, GO:0010039: response to iron ion, GO:0010043: response to zinc ion, GO:0015979: photosynthesis, GO:0042542: response to hydrogen peroxide, GO:0042802: identical protein binding, GO:0048366: leaf development, GO:0055072: iron ion homeostasis	00860: 00860
260495_at			2	-17439263	AT2G41810	818780	12481097, 16648215	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0006790: sulfur compound metabolic process, GO:0019748: secondary metabolic process, GO:1903046: meiotic cell cycle process	
260668_at	RGAT1		1	6763765	AT1G19530	838540	12773641, 12912986, 15908439, 16081496, 16159328, 16258012, 17937930, 20097791, 27247031, 31519798, 33660280	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0009061: anaerobic respiration, GO:0009061: anaerobic respiration, GO:0071456: cellular response to hypoxia	
254107_at	AtG3Pp2, G3Pp2, RHS15		4, 4, 4	12920742	AT4G25220	828625	15047898, 16307366, 16367956, 18710526, 18772308, 19448035, 21788361, 22253603	GO:0009507: chloroplast, GO:0022857: transmembrane transporter activity, GO:0055062: phosphate ion homeostasis, GO:0055062: phosphate ion homeostasis, GO:0055085: transmembrane transport	
246991_at	RHS19		5	26894778	AT5G67400	836876	12473102, 15047898, 15231406, 15634198, 16648215, 16766693, 17030626, 17337630, 17408486, 19448035, 22253603, 27247031	GO:0005576: extracellular region, GO:0006979: response to oxidative stress, GO:0009888: tissue development, GO:0020037: heme binding, GO:0030154: cell differentiation, GO:0035618: root hair, GO:0048364: root development, GO:0048589: developmental growth	00360: 00360, 00940: 00940, 01100: 01100, 01110: 01110
261606_at			1	18346958	AT1G49570	841381	12481097, 12473102, 12913156, 15047898, 15231406, 15694452, 15584951, 16021335, 16173598, 17346263, 23134674	GO:0005576: extracellular region, GO:0006979: response to oxidative stress, GO:0009737: response to abscisic acid, GO:0020037: heme binding	00360: 00360, 00940: 00940, 01100: 01100, 01110: 01110
246652_at	EXT13		5	13434181	AT5G35190	833473	15824099, 16648215, 17220200, 17408486, 21680836, 22253603, 23578334	GO:0005199: structural constituent of cell wall, GO:0005575: cellular_component, GO:0009664: plant-type cell wall organization	
249750_at			5	-8405681	AT5G24570	832528	15546358, 16813576, 18650403, 18854047	GO:0003674: molecular_function, GO:0008150: biological_process	
258434_at	ATEBP, EBP, ERF72, RAP2.3	Encodes a member of the ERF (ethylene response factor) subfamily B-2 of the plant specific ERF/AP2 transcription factor family (RAP2.3).  The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.It is localized to the nucleus and acts as a transcriptional activator through the GCC-box. It has been identified as a suppressor of Bax-induced cell death by functional screening in yeast and can also suppress Bax-induced cell death in tobacco plants. Overexpression of this gene in tobacco BY-2 cells confers resistance to H2O2 and heat stresses. Overexpression in Arabidopsis causes upregulation of PDF1.2 and GST6.   It is part of the ethylene signaling pathway and is predicted to act downstream of EIN2 and CTR1, but not under EIN3., Encodes a member of the ERF (ethylene response factor) subfamily B-2 of the plant specific ERF/AP2 transcription factor family (RAP2.3).  The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.It is localized to the nucleus and acts as a transcriptional activator through the GCC-box. It has been identified as a suppressor of Bax-induced cell death by functional screening in yeast and can also suppress Bax-induced cell death in tobacco plants. Overexpression of this gene in tobacco BY-2 cells confers resistance to H2O2 and heat stresses. Overexpression in Arabidopsis causes upregulation of PDF1.2 and GST6.   It is part of the ethylene signaling pathway and is predicted to act downstream of EIN2 and CTR1, but not under EIN3., Encodes a member of the ERF (ethylene response factor) subfamily B-2 of the plant specific ERF/AP2 transcription factor family (RAP2.3).  The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.It is localized to the nucleus and acts as a transcriptional activator through the GCC-box. It has been identified as a suppressor of Bax-induced cell death by functional screening in yeast and can also suppress Bax-induced cell death in tobacco plants. Overexpression of this gene in tobacco BY-2 cells confers resistance to H2O2 and heat stresses. Overexpression in Arabidopsis causes upregulation of PDF1.2 and GST6.   It is part of the ethylene signaling pathway and is predicted to act downstream of EIN2 and CTR1, but not under EIN3., Encodes a member of the ERF (ethylene response factor) subfamily B-2 of the plant specific ERF/AP2 transcription factor family (RAP2.3).  The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.It is localized to the nucleus and acts as a transcriptional activator through the GCC-box. It has been identified as a suppressor of Bax-induced cell death by functional screening in yeast and can also suppress Bax-induced cell death in tobacco plants. Overexpression of this gene in tobacco BY-2 cells confers resistance to H2O2 and heat stresses. Overexpression in Arabidopsis causes upregulation of PDF1.2 and GST6.   It is part of the ethylene signaling pathway and is predicted to act downstream of EIN2 and CTR1, but not under EIN3.	3, 3, 3, 3	5705541	AT3G16770	820929	9192694, 9159183, 11118137, 16212609, 18650403, 18944445, 18836139, 19533627, 19878300, 20507535, 20657176, 24377444, 24998294, 25118255, 25352272, 25533953, 25847219, 26025519, 25988998, 27247031, 26668304, 28390898, 28537474, 29897568, 30315202, 30510560, 30356219, 31488841, 31806676, 32052059, 33073469	GO:0000976: transcription cis-regulatory region binding, GO:0003677: DNA binding, GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005886: plasma membrane, GO:0006355: regulation of DNA-templated transcription, GO:0008219: cell death, GO:0009723: response to ethylene, GO:0009735: response to cytokinin, GO:0009753: response to jasmonic acid, GO:0009873: ethylene-activated signaling pathway, GO:0010286: heat acclimation, GO:0045893: positive regulation of DNA-templated transcription, GO:0051707: response to other organism	
263970_at	CYP718	member of CYP718	2	17831408	AT2G42850	818885		GO:0004497: monooxygenase activity, GO:0004497: monooxygenase activity, GO:0005506: iron ion binding, GO:0009507: chloroplast, GO:0016125: sterol metabolic process, GO:0016491: oxidoreductase activity, GO:0016705: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, GO:0020037: heme binding	
257922_at	ETR2	Involved in ethylene perception in Arabidopsis	3	8254559	AT3G23150	821891	10938361, 9707532, 9695954, 9576967, 12177468, 12535339, 12509505, 15020633, 15466228, 15466220, 15643078, 15703053, 17224067, 17595158, 19825542, 18577522, 19190240, 19648171, 20062808, 20374664, 20835883, 21386032, 21477822, 22227969, 22467798, 22995285, 24820022, 25082369, 25704455, 25682121, 25814663, 26207341, 26171216, 27247031, 28889249, 31488841, 31519798, 32111354, 31231408	GO:0000155: phosphorelay sensor kinase activity, GO:0004673: protein histidine kinase activity, GO:0004674: protein serine/threonine kinase activity, GO:0005515: protein binding, GO:0005576: extracellular region, GO:0005783: endoplasmic reticulum, GO:0010105: negative regulation of ethylene-activated signaling pathway, GO:0038199: ethylene receptor activity, GO:0051740: ethylene binding, GO:0071456: cellular response to hypoxia	04075: 04075
267230_at	ARL	Encodes ARL, a gene similar to ARGOS involved in cell expansion-dependent organ growth. Upregulated by brassinosteroid. Acts downstream of BRI1.	2	18236789	AT2G44080	819014	12566592, 14576160, 16824178, 17337630, 19161943, 21457262, 23134674, 27247031, 27999174, 31472448	GO:0003674: molecular_function, GO:0005622: intracellular anatomical structure, GO:0005739: mitochondrion, GO:0005783: endoplasmic reticulum, GO:0009741: response to brassinosteroid, GO:0009742: brassinosteroid mediated signaling pathway, GO:0009825: multidimensional cell growth, GO:0035265: organ growth, GO:0046622: positive regulation of organ growth	
253829_at	UMAMIT33		4	13940307, 13940601, 13940681, 13940346, 13940601	AT4G28040	828919	14722770, 18252252, 18616834, 27707774	GO:0005886: plasma membrane, GO:0009416: response to light stimulus, GO:0009507: chloroplast, GO:0019752: carboxylic acid metabolic process, GO:0022857: transmembrane transporter activity, GO:0042742: defense response to bacterium, GO:0050832: defense response to fungus	
254025_at	AtCAPE4		4	-13122047	AT4G25790	828684	16307366, 16766693, 18650403, 22253603, 26093145	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0005615: extracellular space, GO:0008150: biological_process	
245967_at	AtHRGP2, HRGP2		5, 5	6690520	AT5G19800	28721181	17061125, 17581762, 22253603, 24620000	GO:0008150: biological_process	
263614_at	AtCCP3, CCP3, SERP5		2, 2, 2	-10751656	AT2G25240	817062	15235117, 17061125, 22208660, 27709637	GO:0005576: extracellular region, GO:0005615: extracellular space	
255575_at	UMAMIT29		4	585598, 585610	AT4G01430	826685	15894741, 18650403, 18783601, 23858430, 26628011, 27707774	GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0015186: L-glutamine transmembrane transporter activity, GO:0022857: transmembrane transporter activity, GO:0048316: seed development	
251226_at	ATPRP3, PRP3	Proline-rich protein, Proline-rich protein	3, 3	23182722	AT3G62680	825442	10712533, 10594096, 15824099, 16258017, 16412086, 16648215, 17098810, 17408486, 18682547, 20736450, 22253603, 24620000, 27247031, 28751315	GO:0009505: plant-type cell wall, GO:0009506: plasmodesma, GO:0010054: trichoblast differentiation, GO:0071365: cellular response to auxin stimulus, GO:0071369: cellular response to ethylene stimulus, GO:0071944: cell periphery, GO:0072732: cellular response to calcium ion starvation	
248770_at			5	19338511, 19338511	AT5G47740	834825	16679424	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0009611: response to wounding, GO:0009718: anthocyanin-containing compound biosynthetic process, GO:0010015: root morphogenesis, GO:0010035: response to inorganic substance, GO:0014070: response to organic cyclic compound, GO:0019760: glucosinolate metabolic process, GO:0065008: regulation of biological quality, GO:0071369: cellular response to ethylene stimulus, GO:0090558: plant epidermis development, GO:0098542: defense response to other organism	
255516_at	RHS13, SRPP		4, 4	-992111	AT4G02270	828083	15047898, 16648215, 17408486, 19448035, 20736450, 22253603, 23148892, 28138059, 28837399, 30673938	GO:0003674: molecular_function, GO:0009505: plant-type cell wall, GO:0009507: chloroplast, GO:0009723: response to ethylene, GO:0009826: unidimensional cell growth, GO:0009832: plant-type cell wall biogenesis, GO:0010286: heat acclimation, GO:0016036: cellular response to phosphate starvation, GO:0016036: cellular response to phosphate starvation, GO:0048316: seed development, GO:0071944: cell periphery, GO:0080147: root hair cell development, GO:0080147: root hair cell development, GO:0090547: response to low humidity	
264144_at	AtMC6, AtMCP2c, MC6, MCP2c		1, 1, 1, 1	29836644	AT1G79320	844270	15326173, 20565583, 22253603, 27707774	GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0030154: cell differentiation	
247463_at			5	-24986294	AT5G62210	836342	12068095, 12198195, 12805588, 16330762, 16829591, 16900319, 17419845, 17478635, 18650403, 18757557, 20351290, 33464406	GO:0003674: molecular_function, GO:0016020: membrane	
259982_at	ATL8		1	28668664	AT1G76410	843974	11983057, 15238540, 15310832, 15489280, 15644464, 16212609, 16539732, 16632591, 16805732, 17217462, 18305208, 18616834, 18783601, 30169501, 31768111	GO:0006520: cellular amino acid metabolic process, GO:0009642: response to light intensity, GO:0009873: ethylene-activated signaling pathway, GO:0009968: negative regulation of signal transduction, GO:0044248: cellular catabolic process, GO:1901565: organonitrogen compound catabolic process	
249983_at			5	6127773	AT5G18470	831965	15086800, 16258012, 16299181, 16287169, 16766691, 17142483, 17227549, 18210371, 18650403, 20351290, 21477822, 28724081, 29625550	GO:0005576: extracellular region, GO:0009505: plant-type cell wall	
253763_at	ATXTH26, XTH26		4, 4	14244290	AT4G28850	829006	11673616, 14690510, 15047898, 15720654, 16258017, 16367956, 16648215, 16766693, 17579518, 18725200, 18772308, 19635745, 22253603, 27457991	GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds, GO:0005576: extracellular region, GO:0010411: xyloglucan metabolic process, GO:0016762: xyloglucan:xyloglucosyl transferase activity, GO:0030247: polysaccharide binding, GO:0042546: cell wall biogenesis, GO:0090558: plant epidermis development, GO:1905392: plant organ morphogenesis	
252368_at	CYP94B3	member of CYP94B	3	-17974853	AT3G48520	824011	14966217, 15047901, 15516340, 15720654, 16244138, 16299169, 16698904, 16792696, 17056621, 17337630, 18252252, 18684332, 20830594, 21576464, 21849397, 22215670, 25210037, 24467969, 25903915, 26164240, 26672615, 26968098, 27459369, 29439211, 33619745, 33777072	GO:0002213: defense response to insect, GO:0005506: iron ion binding, GO:0005576: extracellular region, GO:0005789: endoplasmic reticulum membrane, GO:0009555: pollen development, GO:0009611: response to wounding, GO:0009694: jasmonic acid metabolic process, GO:0010154: fruit development, GO:0016705: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, GO:0020037: heme binding, GO:0048480: stigma development, GO:0048653: anther development, GO:0052694: jasmonoyl-isoleucine-12-hydroxylase activity	
246935_at	EBF2	Arabidopsis thaliana EIN3-binding F-box protein 2 (EBF2) mRNA. Part of the SCF complex, it is located in the nucleus and is involved in the ethylene-response pathway.	5	-8794252	AT5G25350	832607	14675533, 14675532, 15090654, 15784880, 16920797, 17085683, 17307926, 17389366, 18466304, 18713391, 19704846, 20647342, 23166809, 25330213, 26496607, 26496608, 27822221, 28739888, 28736168, 29643073, 33526703	GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006511: ubiquitin-dependent protein catabolic process, GO:0009507: chloroplast, GO:0009723: response to ethylene, GO:0010105: negative regulation of ethylene-activated signaling pathway, GO:0019005: SCF ubiquitin ligase complex, GO:0019005: SCF ubiquitin ligase complex, GO:0031146: SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	04075: 04075
264029_at	MRH6	Involved in root hair development	2	1132170	AT2G03720	814899	12644671, 16367956, 16359384, 22253603	GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0048765: root hair cell differentiation	
260527_at	UPB1		2	-19411430	AT2G47270	819340	11118137, 12679534, 12837951, 12897250, 14600211, 15272873, 16212609, 16805732, 18305208, 20219281, 21074051, 22020626, 25385697, 25624148, 28992128, 30055520, 30356219, 31445703, 32609718, 33042167, 34056773	GO:0000976: transcription cis-regulatory region binding, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005739: mitochondrion, GO:0006355: regulation of DNA-templated transcription, GO:0046983: protein dimerization activity, GO:2000280: regulation of root development	
254805_at	EARLI1, pEARLI	a putative lipid transfer protein, vernalization-responsive and cold-induced, a putative lipid transfer protein, vernalization-responsive and cold-induced	4, 4	-7406065	AT4G12480	826860	12805590, 15194820, 15181204, 15165189, 15546358, 15191737, 15824099, 15908439, 16183833, 16307366, 16463051, 16648215, 17194769, 17257167, 17786468, 18650403, 18808718, 18783601, 21556912, 21815977, 22759515, 11202439, 26203923, 29490615, 30156481, 32796124, 33342031	GO:0005576: extracellular region, GO:0005783: endoplasmic reticulum, GO:0009409: response to cold, GO:0009505: plant-type cell wall, GO:0009506: plasmodesma, GO:0009651: response to salt stress, GO:0009682: induced systemic resistance, GO:0009707: chloroplast outer membrane, GO:0009737: response to abscisic acid, GO:0050832: defense response to fungus, GO:0099503: secretory vesicle	
252415_at	ASN1, AT-ASN1, DIN6	encodes a glutamine-dependent asparagine synthetase, the predicted ASN1 peptide contains a purF-type glutamine-binding domain, and  is expressed predominantly in shoot tissues, where light has a negative effect on its mRNA accumulation. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell., encodes a glutamine-dependent asparagine synthetase, the predicted ASN1 peptide contains a purF-type glutamine-binding domain, and  is expressed predominantly in shoot tissues, where light has a negative effect on its mRNA accumulation. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell., encodes a glutamine-dependent asparagine synthetase, the predicted ASN1 peptide contains a purF-type glutamine-binding domain, and  is expressed predominantly in shoot tissues, where light has a negative effect on its mRNA accumulation. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell.	3, 3, 3	-17437840, -17437884, -17437884	AT3G47340	823888	9881155, 7846154, 11080291, 11323742, 11351099, 11240919, 12805621, 14671018, 16354162, 16805736, 18088315, 18775970, 19291320, 18167546, 21279647, 21478030, 22253603, 23148892, 23196394, 23735508, 25281700, 27118254, 28390103, 28818378, 29084871, 29348240, 29406622, 33571997, 33721901	GO:0004066: asparagine synthase (glutamine-hydrolyzing) activity, GO:0004066: asparagine synthase (glutamine-hydrolyzing) activity, GO:0004066: asparagine synthase (glutamine-hydrolyzing) activity, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005829: cytosol, GO:0006096: glycolytic process, GO:0006529: asparagine biosynthetic process, GO:0006529: asparagine biosynthetic process, GO:0006529: asparagine biosynthetic process, GO:0009063: cellular amino acid catabolic process, GO:0009646: response to absence of light, GO:0009744: response to sucrose, GO:0009749: response to glucose, GO:0009750: response to fructose, GO:0043617: cellular response to sucrose starvation, GO:0070981: L-asparagine biosynthetic process	00250: 00250, 00910: 00910, 01100: 01100, 01110: 01110
246000_at	AtSAUR76, SAUR76		5, 5	-7046747	AT5G20820	832205	14576160, 16673935, 16792696, 16901781, 17435085, 17587374, 18805951, 23134674, 24312429, 26207341	GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0009733: response to auxin, GO:0019897: extrinsic component of plasma membrane, GO:0030307: positive regulation of cell growth	
