Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
254550_at	ATIRT1, IRT1	Fe(II) transport protein (IRT1), Fe(II) transport protein (IRT1)	4, 4	10707378, 10707344	AT4G19690	827713	10938797, 10769179, 10394943, 9784581, 9501139, 8643627, 11035780, 11696349, 11389759, 11352462, 11500563, 12084831, 12084823, 12096107, 12207649, 12374293, 12787249, 16362328, 17000865, 17029360, 17085755, 17337631, 17427814, 17404382, 18305211, 18397377, 18772308, 19168643, 19154225, 19121106, 19188276, 19252923, 19348669, 19448037, 18268542, 18640604, 19017117, 19549134, 20055961, 20627899, 21219335, 21325567, 21426424, 21628566, 21742768, 21334215, 22234997, 22374397, 22476458, 22639604, 22626733, 22995285, 22984573, 22983953, 23021314, 23144187, 23250624, 23225856, 23590825, 23706761, 23794026, 23759098, 23974911, 23995086, 24192296, 24456400, 24168839, 24561248, 24549117, 24501001, 24596241, 24721759, 24711810, 24843126, 25300251, 25289518, 25366567, 25446093, 25566293, 25559189, 25923075, 26307542, 27247031, 26333047, 26560141, 26579185, 26644507, 26662936, 26956666, 27105423, 27095402, 27792144, 24494240, 24928490, 24889527, 24880337, 26800438, 27849020, 28390898, 28451750, 28500270, 28744713, 29045490, 29114014, 29165807, 29219710, 29490615, 29520929, 29547723, 29677391, 29738246, 29960107, 29989313, 30032190, 30255457, 30766541, 30782964, 30853969, 30912267, 31040174, 31115467, 31156682, 31354776, 31676164, 31776249, 32044630, 32351167, 32528485, 32515071, 32692954, 32817691, 32873629, 33346096, 33360184, 33573082, 33568304, 34057037	GO:0005375: copper ion transmembrane transporter activity, GO:0005381: iron ion transmembrane transporter activity, GO:0005381: iron ion transmembrane transporter activity, GO:0005384: manganese ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005768: endosome, GO:0005802: trans-Golgi network, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0006826: iron ion transport, GO:0006828: manganese ion transport, GO:0006829: zinc ion transport, GO:0006879: cellular iron ion homeostasis, GO:0009507: chloroplast, GO:0009617: response to bacterium, GO:0015086: cadmium ion transmembrane transporter activity, GO:0015675: nickel cation transport, GO:0015691: cadmium ion transport, GO:0016020: membrane, GO:0030001: metal ion transport, GO:0071577: zinc ion transmembrane transport	
262373_at			1	-27497176	AT1G73120	843643	14576160, 15086809, 15082927, 15539473, 16648215, 16998091, 18614705, 18702669	GO:0003674: molecular_function, GO:0006979: response to oxidative stress	
249535_at		Encodes a putative amino acid transporter.	5	15543115	AT5G38820	833873	12586873, 15489280, 15539473, 17028338, 18775970, 20627899	GO:0003333: amino acid transmembrane transport, GO:0009408: response to heat, GO:0009409: response to cold, GO:0009414: response to water deprivation, GO:0009651: response to salt stress, GO:0009737: response to abscisic acid, GO:0015171: amino acid transmembrane transporter activity, GO:0015179: L-amino acid transmembrane transporter activity	
246860_at			5	-9010643	AT5G25840	832653		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0009888: tissue development, GO:0065003: protein-containing complex assembly	
251620_at	MTP8		3	-21497633	AT3G58060	824975	11500563, 15539473, 16844841, 16998091, 17409091, 17559518, 18772308, 26668333, 27118254, 28461400, 28744713, 28887568, 33676025	GO:0005384: manganese ion transmembrane transporter activity, GO:0005384: manganese ion transmembrane transporter activity, GO:0005634: nucleus, GO:0006826: iron ion transport, GO:0008324: cation transmembrane transporter activity, GO:0009705: plant-type vacuole membrane, GO:0009845: seed germination, GO:0016020: membrane, GO:0035618: root hair, GO:0048316: seed development, GO:0071421: manganese ion transmembrane transport, GO:0097577: sequestering of iron ion	
264953_at	ADH, ADH1, ATADH, ATADH1	Catalyzes the reduction of acetaldehyde using NADH as reductant. Requires zinc for activity. Dimer. Anaerobic response polypeptide (ANP). Fermentation. The protein undergoes thiolation following treatment with the oxidant tert-butylhydroperoxide., Catalyzes the reduction of acetaldehyde using NADH as reductant. Requires zinc for activity. Dimer. Anaerobic response polypeptide (ANP). Fermentation. The protein undergoes thiolation following treatment with the oxidant tert-butylhydroperoxide., Catalyzes the reduction of acetaldehyde using NADH as reductant. Requires zinc for activity. Dimer. Anaerobic response polypeptide (ANP). Fermentation. The protein undergoes thiolation following treatment with the oxidant tert-butylhydroperoxide., Catalyzes the reduction of acetaldehyde using NADH as reductant. Requires zinc for activity. Dimer. Anaerobic response polypeptide (ANP). Fermentation. The protein undergoes thiolation following treatment with the oxidant tert-butylhydroperoxide.	1, 1, 1, 1	28975255	AT1G77120	844047	10742055, 10545472, 10517834, 10382288, 9952456, 9880346, 9668134, 9611167, 9580984, 9539444, 9522467, 9402740, 9215914, 9085569, 8844162, 8787023, 8672884, 8535143, 8589735, 8000005, 7851777, 7972489, 1454838, 1643286, 2034210, 2277648, 2274039, 2347304, 2161333, 2152176, 2319942, 2152112, 3377754, 2937058, 6393951, 11018155, 11158375, 11351099, 11470531, 11402191, 11402202, 12065837, 12169018, 11987307, 12231733, 12207038, 12444422, 12368505, 12509334, 11117876, 1643282, 2102855, 7858224, 7647304, 12572606, 12694288, 12857811, 12909714, 15513710, 15734912, 16055689, 16117846, 16336779, 16626462, 18433157, 18650403, 19276109, 16028113, 20150517, 20508152, 20436292, 20978802, 21493687, 21835495, 22115780, 21940999, 22661072, 23289948, 23282329, 23574450, 23707506, 23979944, 24272897, 24395201, 24746733, 25327456, 25544587, 25447145, 24698791, 25847219, 26318308, 26265762, 27247031, 26566261, 27002417, 27577789, 27835985, 28123394, 28716417, 30014159, 30188766, 30252897, 31519798, 33028901, 33028029, 33616649, 33790927	GO:0001666: response to hypoxia, GO:0001666: response to hypoxia, GO:0001666: response to hypoxia, GO:0004022: alcohol dehydrogenase (NAD+) activity, GO:0004022: alcohol dehydrogenase (NAD+) activity, GO:0004022: alcohol dehydrogenase (NAD+) activity, GO:0004024: alcohol dehydrogenase activity, zinc-dependent, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005829: cytosol, GO:0005886: plasma membrane, GO:0006970: response to osmotic stress, GO:0008270: zinc ion binding, GO:0009409: response to cold, GO:0009413: response to flooding, GO:0009414: response to water deprivation, GO:0009651: response to salt stress, GO:0009737: response to abscisic acid, GO:0009744: response to sucrose, GO:0031000: response to caffeine, GO:0032355: response to estradiol, GO:0042542: response to hydrogen peroxide, GO:0042803: protein homodimerization activity, GO:0045333: cellular respiration, GO:0046294: formaldehyde catabolic process, GO:0051903: S-(hydroxymethyl)glutathione dehydrogenase activity, GO:0071456: cellular response to hypoxia, GO:1900039: positive regulation of cellular response to hypoxia	00010: 00010, 00071: 00071, 00350: 00350, 01100: 01100, 01110: 01110
254534_at	ATIRT2, IRT2	encodes an iron transporter whose expression is induced by iron and zinc deficiency. Gene is specifically expressed in the external cell layers of the root subapical zone., encodes an iron transporter whose expression is induced by iron and zinc deficiency. Gene is specifically expressed in the external cell layers of the root subapical zone.	4, 4	10703348, 10703348	AT4G19680	827712	11389759, 11500563, 12207649, 12374293, 13129917, 14690510, 15539473, 15584951, 15531708, 16766693, 16911220, 16998091, 17061125, 17014743, 17404382, 19252923, 21219335, 22184655, 22253603, 25289518, 30255457, 34057037	GO:0005381: iron ion transmembrane transporter activity, GO:0005381: iron ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005886: plasma membrane, GO:0006826: iron ion transport, GO:0006829: zinc ion transport, GO:0016020: membrane, GO:0071577: zinc ion transmembrane transport	
250152_at	HUP29, PCO1		5, 5	4898641	AT5G15120	831364	15272001, 15546358, 16081496, 16159328, 20097791, 22589469, 24599061, 31519798, 33369516	GO:0001666: response to hypoxia, GO:0005506: iron ion binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005829: cytosol, GO:0009061: anaerobic respiration, GO:0009061: anaerobic respiration, GO:0017172: cysteine dioxygenase activity, GO:0070483: detection of hypoxia, GO:0071456: cellular response to hypoxia	00430: 00430, 01100: 01100
258487_at	LBD41		3	-536500	AT3G02550	821112	12068116, 12040093, 12953064, 15200641, 15734912, 16081496, 19154202, 20507524, 20840511, 31519798, 33616649	GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0010468: regulation of gene expression, GO:0071456: cellular response to hypoxia	
262412_at	GF14, GRF11, RHS5	Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light., Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light., Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light.	1, 1, 1	-12743722, -12743722	AT1G34760	840380	10631267, 10836149, 15539473, 15821287, 16407442, 17598127, 19448035, 20736450, 22253603, 23252371, 23512855, 28422008, 33274450	GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0007165: signal transduction, GO:0016597: amino acid binding, GO:0045309: protein phosphorylated amino acid binding, GO:0051117: ATPase binding	
267024_s_at								GO:0001666: response to hypoxia, GO:0001666: response to hypoxia, GO:0005783: endoplasmic reticulum, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0009507: chloroplast, GO:0015129: lactate transmembrane transporter activity, GO:0015250: water channel activity, GO:0015267: channel activity, GO:0015727: lactate transport, GO:0055085: transmembrane transport	
253937_at	MAPKKK16	member of MEKK subfamily	4	13511837	AT4G26890	828796	15235117, 16510518, 21477822, 27490954, 28292003, 32265268	GO:0004672: protein kinase activity, GO:0004672: protein kinase activity, GO:0004674: protein serine/threonine kinase activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006468: protein phosphorylation, GO:0006468: protein phosphorylation, GO:0007165: signal transduction, GO:0019901: protein kinase binding, GO:0046777: protein autophosphorylation	
254200_at	HUP40		4	-12519907	AT4G24110	828511	16033780, 16284307, 18702669, 20351290, 30521026, 31488841, 31519798, 33369516	GO:0003674: molecular_function, GO:0005737: cytoplasm, GO:0071456: cellular response to hypoxia	
264751_at	ATFRO3, FRO3	Encodes a ferric chelate reductase whose transcription is regulated by FIT1.  Expressed in the root, shoot, flower and cotyledon., Encodes a ferric chelate reductase whose transcription is regulated by FIT1.  Expressed in the root, shoot, flower and cotyledon.	1, 1	-8149868, -8150070	AT1G23020	838910	10067892, 12169696, 12885779, 12913156, 13129917, 14690509, 14722088, 15047898, 15235117, 15489280, 15546358, 15531708, 16006655, 16998091, 20736450, 20724023, 20675571, 20978802, 22374397, 24711810, 31776249, 32351167	GO:0000293: ferric-chelate reductase activity, GO:0000293: ferric-chelate reductase activity, GO:0005886: plasma membrane, GO:0016491: oxidoreductase activity	
261684_at	FEP3, IMA1		1, 1	17385707	AT1G47400	841144	15086809, 15546358, 15755812, 16291648, 16330523, 17061125, 20978802, 30032190, 30323182, 31776249, 31776233, 32594838	GO:0005634: nucleus, GO:0005829: cytosol, GO:0034758: positive regulation of iron ion transport, GO:0046914: transition metal ion binding, GO:1990641: response to iron ion starvation	
252746_at	ATSUS4, SUS4	Encodes a protein with sucrose synthase activity (SUS4)., Encodes a protein with sucrose synthase activity (SUS4).	3, 3	-15179010	AT3G43190	823393	12368499, 12773641, 14739263, 14736918, 14982972, 14760709, 15052571, 15489341, 15734912, 15734908, 16033780, 16055689, 16081496, 16367961, 16463051, 16574747, 16776300, 16941220, 16927204, 17030626, 17172353, 17257168, 18635527, 18710526, 19470642, 21265895, 22184213, 22751299, 22899048, 24810896, 28337518, 31488841, 31519798, 31805187, 33616649, 33790927	GO:0001666: response to hypoxia, GO:0005773: vacuole, GO:0005985: sucrose metabolic process, GO:0016157: sucrose synthase activity, GO:0016157: sucrose synthase activity, GO:0016157: sucrose synthase activity, GO:0016757: glycosyltransferase activity, GO:0071456: cellular response to hypoxia	00500: 00500, 01100: 01100
254571_at	MWL-2		4	-10566068	AT4G19370	827678	15539473, 18650403, 26930070	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0005886: plasma membrane, GO:0009808: lignin metabolic process, GO:0016020: membrane	
252502_at	COPT2	encodes a member of copper transporter family and functionally complements a high affinity copper transporter mutant in yeast	3	17268700	AT3G46900	823843	12650623, 13129917, 12969422, 15539473, 16460505, 17337631, 18258690, 18775970, 18631293, 20117084, 23487432, 23766354, 23835944, 26516126, 26734017, 26890490, 28900233, 29114014, 30043153, 33464620, 33568283	GO:0005375: copper ion transmembrane transporter activity, GO:0005375: copper ion transmembrane transporter activity, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0006878: cellular copper ion homeostasis, GO:0015089: high-affinity copper ion transmembrane transporter activity, GO:0098705: copper ion import across plasma membrane	
245296_at	ATOPT3, OPT3	Encodes an oligopeptide transporter involved in  metal homeostasis., Encodes an oligopeptide transporter involved in  metal homeostasis.	4, 4	-9247302	AT4G16370	827332	8776904, 7919993, 11788749, 12417702, 13129917, 16151844, 17566055, 18083798, 20978802, 24867923, 27707774, 24880337, 29520929, 29669129, 30254659, 31334862, 31354776, 31776249	GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005886: plasma membrane, GO:0006875: cellular metal ion homeostasis, GO:0009506: plasmodesma, GO:0016020: membrane, GO:0035673: oligopeptide transmembrane transporter activity, GO:0035673: oligopeptide transmembrane transporter activity, GO:0046915: transition metal ion transmembrane transporter activity, GO:0055072: iron ion homeostasis, GO:1990388: xylem-to-phloem iron transport	
264710_at	COBL6		1	-3168482	AT1G09790	837508	12068095, 12376623, 12805588, 14671020, 15539473, 16790430, 20226671	GO:0003674: molecular_function, GO:0005886: plasma membrane, GO:0010215: cellulose microfibril organization, GO:0016020: membrane, GO:0052324: plant-type cell wall cellulose biosynthetic process	
251677_at	BHLH039, bHLH39, ORG3	Encodes a member of the basic helix-loop-helix transcription factor protein., Encodes a member of the basic helix-loop-helix transcription factor protein., Encodes a member of the basic helix-loop-helix transcription factor protein.	3, 3, 3	-21086390	AT3G56980	824865	11118137, 12679534, 12897250, 12887587, 14600211, 15086800, 15082927, 15078338, 15923329, 16284313, 17260143, 17233795, 17217462, 17411438, 17516080, 18783601, 18268542, 20219281, 21873619, 22984573, 22983953, 23250624, 24192296, 24549883, 24928490, 24919188, 28444690, 28864470, 28883478, 29396986, 29546482, 29960107, 29985961, 30032190, 30713077, 30782964, 31487399, 31776249, 31776233, 31879716, 32580009, 33346096, 33464620	GO:0000977: RNA polymerase II transcription regulatory region sequence-specific DNA binding, GO:0000981: DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0006357: regulation of transcription by RNA polymerase II, GO:0010106: cellular response to iron ion starvation, GO:0046983: protein dimerization activity, GO:0055072: iron ion homeostasis, GO:0090575: RNA polymerase II transcription regulator complex	
255807_at	WIP4		4	6374734	AT4G10270	826619	15173595, 15347791, 15708574, 16081496, 17172353, 18643985, 23517122, 30172369	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0009617: response to bacterium, GO:0010243: response to organonitrogen compound, GO:0014070: response to organic cyclic compound, GO:0019748: secondary metabolic process, GO:0043436: oxoacid metabolic process, GO:0048316: seed development, GO:0050832: defense response to fungus, GO:0071310: cellular response to organic substance	
248270_at	FBN11, ORG1		5, 5	21688773, 21688763	AT5G53450	835426	12913170, 12887587, 14576160, 15247402, 17233795, 17293567, 21245191, 21477822, 31776249, 33922967	GO:0004672: protein kinase activity, GO:0004693: cyclin-dependent protein serine/threonine kinase activity, GO:0005524: ATP binding, GO:0005634: nucleus, GO:0005739: mitochondrion, GO:0006468: protein phosphorylation, GO:0006468: protein phosphorylation, GO:0006970: response to osmotic stress, GO:0008353: RNA polymerase II CTD heptapeptide repeat kinase activity, GO:0009507: chloroplast, GO:0016592: mediator complex	
248719_at	ATRBOHD, DELT1, RBOHD	NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site., NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site., NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site.	5, 5, 5	19397041	AT5G47910	834842	11756663, 15608336, 15705948, 15923322, 16170317, 16367958, 16428598, 16415066, 16913867, 17160388, 17317660, 17651370, 17601167, 18218618, 18212028, 18643991, 18790995, 19170932, 19321706, 19574254, 19704701, 19690331, 19690149, 19726575, 20023407, 20163553, 20592040, 20876608, 20820881, 20615112, 20955078, 20951600, 21071853, 21205037, 21261469, 21447999, 21421415, 21419340, 21492976, 21546454, 21707649, 21668535, 21856300, 21940718, 21937678, 22007023, 22001402, 21985584, 21984648, 22155845, 22138967, 21802603, 22437147, 22422940, 22408091, 22645532, 22730426, 22788984, 23095998, 23264520, 23341360, 23314084, 23441575, 23400703, 23365132, 23448237, 23500715, 23580750, 22751316, 23709674, 23650383, 23649257, 23952703, 23940555, 24033256, 24245741, 24088017, 24477528, 24444075, 24372484, 23963673, 24098330, 24085708, 24510762, 24502504, 24629339, 24755455, 24714570, 24699527, 24630626, 25399352, 25521759, 25462961, 25704231, 26039480, 26180024, 27247031, 26432875, 26649488, 26704641, 26765289, 26798024, 27085087, 27261066, 27251529, 27288360, 27269509, 27398933, 27494702, 25826261, 27837091, 27909046, 27925401, 28018388, 28134437, 28164334, 28254779, 28337518, 28455839, 28537474, 28698136, 28696275, 28716423, 28716416, 28827453, 29071531, 29166881, 29163585, 29301018, 29398214, 29438048, 29463779, 29576081, 29868082, 29891679, 30013580, 30097007, 30188766, 30218537, 30212650, 30238451, 30300945, 30387369, 30426643, 30796836, 30873191, 30963238, 31067654, 31318449, 31379894, 31379142, 31490027, 31488841, 31519798, 31515446, 31666300, 32005378, 32034035, 32059380, 32086363, 32234220, 32296141, 32290990, 32530625, 32519347, 32605179, 32680933, 32695131, 32910883, 32938754, 33101341, 33210579, 33198167, 33622982, 33692546, 33770168, 33756120, 33755206, 33830252, 33920993, 34063040	GO:0000293: ferric-chelate reductase activity, GO:0005509: calcium ion binding, GO:0005515: protein binding, GO:0005634: nucleus, GO:0005794: Golgi apparatus, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0006952: defense response, GO:0007231: osmosensory signaling pathway, GO:0009408: response to heat, GO:0009536: plastid, GO:0009611: response to wounding, GO:0016174: NAD(P)H oxidase H2O2-forming activity, GO:0016174: NAD(P)H oxidase H2O2-forming activity, GO:0016174: NAD(P)H oxidase H2O2-forming activity, GO:0033500: carbohydrate homeostasis, GO:0043069: negative regulation of programmed cell death, GO:0050832: defense response to fungus, GO:0071456: cellular response to hypoxia, GO:0072593: reactive oxygen species metabolic process, GO:0072593: reactive oxygen species metabolic process, GO:0072593: reactive oxygen species metabolic process	04626: 04626
259632_at	ATNAS4, NAS4	Encodes a protein with nicotianamine synthase activity., Encodes a protein with nicotianamine synthase activity.	1, 1	21136835	AT1G56430	842096	14690510, 14690509, 15531708, 16844841, 16998091, 17061125, 17233795, 17411438, 18650403, 18783601, 18772308, 19304929, 20675571, 21592396, 22374397, 22639605, 22706286, 23759098, 24704865, 24278034, 28744713, 29667322, 30782964, 31776249, 32351167, 32817691	GO:0005634: nucleus, GO:0009555: pollen development, GO:0009860: pollen tube growth, GO:0010233: phloem transport, GO:0030410: nicotianamine synthase activity, GO:0030418: nicotianamine biosynthetic process	
249636_at	BGLU42		5	-14541718, -14541289	AT5G36890	833656	15539473, 16367961, 15604686, 20627899, 23517122, 25138267, 29555787, 29686086	GO:0005829: cytosol, GO:0008422: beta-glucosidase activity, GO:0009507: chloroplast, GO:0009617: response to bacterium, GO:0009866: induced systemic resistance, ethylene mediated signaling pathway, GO:0019748: secondary metabolic process, GO:0030245: cellulose catabolic process, GO:0031349: positive regulation of defense response, GO:0102483: scopolin beta-glucosidase activity, GO:1990641: response to iron ion starvation	
251545_at	ATMTP3, ATMTPA2, MTP3, MTPA2	Member of Zinc transporter (ZAT) family. Contributes to basic cellular Zn tolerance and controls Zn partitioning, particularly under conditions of high  rates of Zn influx into the root symplasm. Localizes to  the vacuolar membrane., Member of Zinc transporter (ZAT) family. Contributes to basic cellular Zn tolerance and controls Zn partitioning, particularly under conditions of high  rates of Zn influx into the root symplasm. Localizes to  the vacuolar membrane., Member of Zinc transporter (ZAT) family. Contributes to basic cellular Zn tolerance and controls Zn partitioning, particularly under conditions of high  rates of Zn influx into the root symplasm. Localizes to  the vacuolar membrane., Member of Zinc transporter (ZAT) family. Contributes to basic cellular Zn tolerance and controls Zn partitioning, particularly under conditions of high  rates of Zn influx into the root symplasm. Localizes to  the vacuolar membrane.	3, 3, 3, 3	21749966, 21749966	AT3G58810	825050	11274055, 11500563, 15215502, 15255871, 15539473, 16258017, 16709200, 16998091, 22184655, 22374397, 29667322	GO:0005385: zinc ion transmembrane transporter activity, GO:0005773: vacuole, GO:0005773: vacuole, GO:0005886: plasma membrane, GO:0008324: cation transmembrane transporter activity, GO:0009507: chloroplast, GO:0009705: plant-type vacuole membrane, GO:0010043: response to zinc ion, GO:0010299: detoxification of cobalt ion, GO:0010312: detoxification of zinc ion, GO:0010312: detoxification of zinc ion, GO:0015103: inorganic anion transmembrane transporter activity, GO:0071577: zinc ion transmembrane transport	
250832_at	ATNAS1, NAS1	Encodes a nicotianamide synthase., Encodes a nicotianamide synthase.	5, 5	-1457641	AT5G04950	830377	11351099, 13129917, 12953064, 14690510, 15047898, 15272873, 15539473, 15584951, 15531708, 16844841, 16998091, 19304929, 20627899, 21592396, 22184655, 22374397, 22639605, 22706286, 24111973, 24704865, 26560141, 28761150, 31168664, 33405355	GO:0009555: pollen development, GO:0009860: pollen tube growth, GO:0010233: phloem transport, GO:0030410: nicotianamine synthase activity, GO:0030410: nicotianamine synthase activity, GO:0030418: nicotianamine biosynthetic process, GO:0030418: nicotianamine biosynthetic process	
